Study ,Country ,AI system name/ developer,Study type,Number of participants or images,Who provided the reference standard,DR classification system used,Sensitivity (95% CI) for referable DR,Specificity (95% CI) for referable DR,AUC (95% CI) for referable DR,Referable DR threshold,Other reported outcomes
Li et al(18),China,VolexCloud,Prospective,11476 participants ,"One certified retinal
specialist",ICDRS,85.1% (83.4 to 86.6), 95.6% (94.6 to 96.6), 0.942 (0.920 to 0.964)," Moderate NPDR or
worse (macular signs
not specified)","389 images were
ungradable using DLA
but were gradable by
humans"
Lin et al(19),China,"Comprehensive
AI Retinal
Expert",Prospective,"18163 images in
external validation
dataset","Three
ophthalmologists",NS,NS,NS,"‡1. 0.960 (0.953 to
0.966)
2. 0.999 (0.998 to 1.000)
3. 0.918 (0.887 to 0.944)","Moderate NPDR or
worse (macular signs
not specified)","Performance of DLS in
detecting 14 different
retinal conditions
reported"
Ming et al(20),China,EyeWisdom,Prospective,199 participants,"Two
ophthalmologists",ICDRS,84.6% (54.6 to 98.1),98.0% (94.3 to 99.6),0.913 (0.797 to 1.00),"More than mild
NPDR (macular signs
not specified)",None
Pei et al(21),China,EyeWisdom,Prospective, 549 participants,"Two
ophthalmologists",ICDRS,NS,NS,NS,NS,"Sensitivity, specificity
and AUC provided for
each level of DR"
Hao et al(22),China,EyeWisdom,Prospective,3796 participants,"Two attending
physicians",ICDRS,NS,NS,NS,NS,Reported sensitivity and specificity data for the presence of DR
Bawankar et al(23),India,"Bosch DR
algorithm",Prospective, 564 participants,The investigators,"American Academy
guidelines",91.18%,96.90%,NS,"Figures refer to
presence or absence
of DR (macular signs
not specified)","Bosch algorithm
showed favorable
performance for nonmydriatic photos"
Hansen et al(24),Kenya,Iowa DR detection software,Retrospective,3460 participants, Moorfields Eye Hospital retinal image reading center,ICDRS,NS,NS,NS,NS,Reported figures for the detection of the presence of DR
Dong et al(25),China,Retinal Artificial Intelligence Diagnosis System,Retrospective,110784 participants,Two ophthalmologists ,NS,NS,NS,0.981 (0.980 to 0.982),NS,The AI system detects 10 retinal disorders
Yang et al(26),China,AIDRScreening V.1.0,Prospective, 962 participants, Two graders,Chinese Ophthalmic Society guidelines ,86.72% (83.39 to 90.05),96.06% (94.14 to 97.54),NS,Stage II or worse using the Chinese Ophthalmic Society guidelines,None
Nunez do Rio et al(27),India,VISUHEALTH-AI DR (software V.1.8),Prospective,31608 participants,Two optometrists or ophthalmologists ,ICDRS,72.08% (70.68 to 73.46),85.65% (85.11 to 86.18),NS,Moderate NPDR or worse and/or presence of DME,Assessed AI system performance in non- mydriatic images
Mathenge et al(28),Rwanda,Cybersight,Randomized controlled trial ,823 participants,NS,NS,NS,NS,NS,NS,"Proportion of persons referred after DR
screening who attended
follow-up reported"
Li et al(29),China," DR DL Network
(V.201710242)",Prospective,8012 participants,"Two graders in
reading center",ICDRS,NS,NS,NS,"UK NSC guideline
used to determine
referral threshold
(includes presence
of DME)","AI took 19.2min to
provide screening report
after image capture vs
1.3 days for manual
graders"
